grid_section_lat,grid_section_long,venue,v_lat,v_long,category,group,type
43.8198143,-111.759241466667,Drooling,43.811875,-111.77679199999999,Concert Hall,Concert Hall,Arts & Entertainment
43.8174161,-111.805790533333,Taylor Cadillac of Rexburg,43.8088872079328,-111.803695857525,Auto Dealership,Auto Dealership,Shop & Service
43.8174161,-111.805790533333,Taylor Chevrolet,43.808742737290494,-111.804519804398,Auto Dealership,Auto Dealership,Shop & Service
43.8174161,-111.805790533333,Sage Day Spa,43.806425707893496,-111.80458100628,Spa,Spa,Shop & Service
43.8174161,-111.805790533333,Taylor Chevrolet Buick Cadillac,43.8088270154248,-111.80367140103,Auto Dealership,Auto Dealership,Shop & Service
43.8174161,-111.805790533333,Anytime Fitness,43.80621,-111.80521999999999,Gym / Fitness Center,Athletics & Sports,Outdoors & Recreation
43.8174161,-111.805790533333,Madison County WIC,43.811888,-111.796543,Doctor's Office,Medical Center,Professional & Other Places
43.8174161,-111.805790533333,The Throne Room,43.8118523198485,-111.796455581631,Rest Area,Rest Area,Travel & Transport
43.8174161,-111.805790533333,SRV-IT Computer Repair Depot,43.80884268856871,-111.803269386292,Tech Startup,Office,Professional & Other Places
43.8174161,-111.805790533333,Wagon Wheel 29,43.811820000000004,-111.796416,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.805790533333,Wagon Wheel Apartments,43.811839,-111.796499,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.805790533333,Hyde Park,43.810867487916795,-111.795754398626,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.805790533333,Teton-Vu Drive in,43.810165000000005,-111.80328600000001,Movie Theater,Movie Theater,Arts & Entertainment
43.8174161,-111.8024656,0500 Mechanics,43.81749,-111.79869,Automotive Shop,Automotive Shop,Shop & Service
43.8174161,-111.8024656,The Towers,43.813169,-111.792727,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.8024656,Brighton Towhomes,43.8138565818834,-111.79159060945899,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.799140666667,Derf Dungeon,43.814104,-111.79041399999998,Spiritual Center,Spiritual Center,Professional & Other Places
43.8174161,-111.799140666667,Shel 9,43.814204,-111.79034399999999,Karaoke Bar,Bar,Nightlife Spot
43.8174161,-111.799140666667,Shelbourne Apartments,43.8145406091759,-111.79039534290101,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.799140666667,Shel9,43.814261,-111.79033799999999,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.795815733333,The Gates,43.8123089024944,-111.79470467172001,College Residence Hall,College Residence Hall,College & University
43.8174161,-111.79249080000001,Self Car Wash,43.815176173790505,-111.787298545847,Car Wash,Car Wash,Shop & Service
43.8174161,-111.79249080000001,BYU-Idaho Recycling Center,43.81503636820501,-111.78749799728399,Recycling Facility,Recycling Facility,Shop & Service
43.8174161,-111.79249080000001,The Kitchen,43.814646999999994,-111.78822199999999,Restaurant,Restaurant,Food
43.8174161,-111.79249080000001,Kappa Phi Oh 7,43.81474495744679,-111.788212135266,Sorority House,Sorority House,College & University
43.8174161,-111.79249080000001,Nauvoo House,43.8145317755527,-111.789240946824,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.79249080000001,Mountain Lofts,43.815038382126396,-111.792010793467,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.79249080000001,Northgate Apartments,43.814342612714704,-111.794384325245,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.79249080000001,Shake Out,43.8179631442131,-111.78692557882799,Burger Joint,Burger Joint,Food
43.8174161,-111.79249080000001,Southgate Apartments,43.813376322528,-111.79506043157,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.79249080000001,Bountiful Place,43.8147538254123,-111.793942308079,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8174161,-111.79249080000001,Nauvoo Club House,43.8151773816313,-111.788922316423,Dive Spot,Dive Spot,Outdoors & Recreation
43.8174161,-111.789165866667,Walmart,43.8371733811435,-111.776057347888,Big Box Store,Big Box Store,Shop & Service
43.8174161,-111.789165866667,Biddulph Hall,43.817226145182,-111.78501527381,College Residence Hall,College Residence Hall,College & University
43.8174161,-111.789165866667,crepe corner,43.8163948059082,-111.78475952148399,Breakfast Spot,Breakfast Spot,Food
43.8174161,-111.789165866667,Mark Austin Auto Shop,43.815796,-111.78427099999999,Automotive Shop,Automotive Shop,Shop & Service
43.8174161,-111.789165866667,Nauvoo Gym,43.8143120802725,-111.788209185263,Gym,Athletics & Sports,Outdoors & Recreation
43.8174161,-111.789165866667,Student Support Office,43.817142,-111.784494,Student Center,Student Center,College & University
43.8174161,-111.789165866667,Fleet Services & Vehicle Rentals,43.816261291503906,-111.786514282227,Automotive Shop,Automotive Shop,Shop & Service
43.8174161,-111.789165866667,Cadaver Lab,43.815698129152004,-111.783101710274,College Science Building,College Academic Building,College & University
43.8174161,-111.789165866667,Ricks 161,43.816497802734396,-111.78472900390601,College Classroom,College Classroom,College & University
43.8174161,-111.78584093333299,Ricks Gardens,43.8159460688591,-111.78202235820801,Garden,Garden,Outdoors & Recreation
43.8174161,-111.78584093333299,Mark Austin Technical & Engineering Bldg,43.81611171199221,-111.784575227227,College Academic Building,College Academic Building,College & University
43.8174161,-111.78584093333299,Main Street Diamonds,43.826423,-111.782332,Jewelry Store,Jewelry Store,Shop & Service
43.8174161,-111.78584093333299,Science and Technology Center,43.814681,-111.784498,College Science Building,College Academic Building,College & University
43.8174161,-111.78584093333299,John Taylor Bldg.,43.816842044145496,-111.78274183091101,College Academic Building,College Academic Building,College & University
43.8174161,-111.78584093333299,Rigby 242,43.816990999999994,-111.78433899999999,College Administrative Building,College Administrative Building,College & University
43.8174161,-111.78584093333299,University Operations Bldg.,43.8160582636088,-111.785577535629,General College & University,General College & University,College & University
43.8174161,-111.78251599999999,Ezra Taft Benson Building,43.815740858575296,-111.78309917450001,College Science Building,College Academic Building,College & University
43.8174161,-111.78251599999999,Garden View Café,43.81514862272169,-111.780813932419,College Cafeteria,College Cafeteria,College & University
43.8174161,-111.78251599999999,Thomas E. Ricks Bldg.,43.8148706997485,-111.780939397453,College Math Building,College Academic Building,College & University
43.8174161,-111.78251599999999,ricks 178,43.815201461081706,-111.780940399706,College Classroom,College Classroom,College & University
43.8174161,-111.78251599999999,Byui Free Parking,43.8127774501428,-111.78216097084,University,University,College & University
43.8174161,-111.78251599999999,Neuroscience Lab,43.8156916354791,-111.78304247252599,College Lab,College Lab,College & University
43.8174161,-111.78251599999999,Stores and Receiving,43.8146245479584,-111.783088445663,Post Office,Post Office,Professional & Other Places
43.8174161,-111.77919106666701,Accounting/econ lab,43.814909,-111.782578825951,College Lab,College Lab,College & University
43.8174161,-111.7725412,BYU-I Apple Orchard,43.8140918735691,-111.781768798828,Farmers Market,Food & Drink Shop,Shop & Service
43.8174161,-111.7725412,Church of Jesus Christ of Latter-Day Saints Rexburg Temple,43.810899,-111.779059,Church,Spiritual Center,Professional & Other Places
43.8174161,-111.769216266667,Rexburg Idaho Temple,43.810691176334295,-111.77885417318501,Temple,Spiritual Center,Professional & Other Places
43.8150179,-111.805790533333,Expidition Firearms,43.806968560688404,-111.805822361992,Other Great Outdoors,Other Great Outdoors,Outdoors & Recreation
